Unnamed: 0,state,electoral_vote_trump,electoral_vote_clinton,popular_vote_trump,popular_vote_clinton,popular_vote_other,popular_vote,Stats,Winning Margin
1,Alabama,9,0,1318255,729547,75570,2123372,1291245.37,28.75
2,Alaska,3,0,163387,116454,38767,318608,780154.0,16.77
3,Arizona,11,0,1252401,1161167,159597,2573165,55973,3.78
4,Arkansas,6,0,684872,380494,65310,1130676,8697819,28.57
5,California,0,55,4483814,8753792,943998,14181604,1234996.63,32.26
6,Colorado,0,9,1202484,1338870,238893,2780247,949136.0,5.37
7,Connecticut,0,7,673215,897572,74133,1644920,12723,14.28
8,Delaware,0,3,185127,235603,23084,443814,4672324,12.0
9,,0,3,12723,282830,15715,311268,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",91.39
10,Florida,29,0,4617886,4504975,297178,9420039,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",1.24
11,Georgia,16,0,2089104,1877963,147665,4114732,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",5.32
12,Hawaii,0,3,128847,266891,33199,428937,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",34.88
13,Idaho,4,0,409055,189765,91435,690255,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",36.62
14,Illinois,0,20,2146015,3090729,299680,5536424,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",18.04
15,Indiana,11,0,1557286,1033126,144546,2734958,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",20.23
16,Iowa,6,0,800983,653669,111379,1566031,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",10.13
17,Kansas,6,0,671018,427005,86379,1184402,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",22.22
18,Kentucky,8,0,1202971,628854,92324,1924149,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",31.34
19,Louisiana,8,0,1178638,780154,70240,2029032,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",20.34
20,Maine,1,3,335593,357735,54599,747927,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",3.19
21,Maryland,0,10,943169,1677928,160349,2781446,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",28.03
22,Massachusetts,0,11,1090893,1995196,238957,3325046,"1234996.63, 949136.0, 12723.0, 4672324.0 | 1291245.37, 780154.0, 55973.0, 8697819.0",29.3
