state,state_abr,trump_pct,biden_pct,trump_vote,biden_vote,trump_win,biden_win,Stats,Winning Margin
Alaska,AK,53.1,43.0,189543,153502,1,0,1570924.33,10.51
Hawaii,HI,34.3,63.7,196864,366130,0,1,856034.0,30.07
Washington,WA,39.0,58.4,1584651,2369612,0,1,73491,19.85
Oregon,OR,40.7,56.9,958448,1340383,0,1,11008802,16.61
California,CA,34.3,63.5,5982194,11082293,0,1,1449475.14,29.89
Idaho,ID,63.9,33.1,554128,287031,1,0,1020280.0,31.75
Montana,MT,56.9,40.6,343647,244836,1,0,18586,16.79
Nevada,NV,47.7,50.1,669890,703486,0,1,5963608,2.45
Wyoming,WY,70.4,26.7,193559,73491,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",44.96
Utah,UT,58.2,37.7,865140,560282,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",21.39
Arizona,AZ,49.1,49.4,1661686,1672143,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",0.31
Colorado,CO,41.9,55.4,1364471,1804196,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",13.88
New Mexico,NM,43.5,54.3,401894,501614,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",11.04
North Dakota,ND,65.5,31.9,235595,114902,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",34.43
South Dakota,SD,61.8,35.6,261043,150471,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",26.87
Nebraska,NE,58.5,39.4,556846,374583,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",19.57
Kansas,KS,56.5,41.3,752933,551144,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",15.47
Oklahoma,OK,65.4,32.3,1020280,503890,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",33.88
Texas,TX,52.1,46.5,5890347,5259126,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",5.66
Minnesota,MN,45.4,52.6,1484056,1717077,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",7.28
Iowa,IA,53.2,45.0,897672,759061,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",8.37
Missouri,MO,56.8,41.4,1718282,1252902,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",15.66
Arkansas,AR,62.4,34.8,760647,423932,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",28.42
Louisiana,LA,58.5,39.9,1255776,856034,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",18.93
Wisconsin,WI,48.9,49.6,1610065,1630673,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",0.64
Illinois,IL,40.5,57.6,2438943,3463260,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",17.35
Mississippi,MS,57.6,41.1,756789,539508,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",16.76
Michigan,MI,47.8,50.6,2649842,2804040,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",2.83
Indiana,IN,57.1,41.0,1729516,1242413,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",16.39
Kentucky,KY,62.1,36.2,1326646,772474,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",26.4
Tennessee,TN,60.7,37.4,1849556,1139332,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",23.76
Alabama,AL,62.2,36.7,1441170,849624,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",25.82
Ohio,OH,53.3,45.3,3154834,2679165,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",8.15
West Virginia,WV,68.6,29.7,545382,235984,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",39.6
Georgia,GA,49.3,49.5,2461837,2474507,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",0.26
Florida,FL,51.2,47.9,5668731,5297045,1,0,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",3.39
Maine,ME,44.0,53.1,360480,434966,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",9.36
New Hampshire,NH,45.5,52.9,365660,424935,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",7.5
Vermont,VT,30.8,66.4,112704,242820,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",36.6
Massachusetts,MA,32.3,65.9,1167202,2382202,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",34.23
Rhode Island,RI,38.8,59.7,199922,307486,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",21.2
Connecticut,CT,39.2,59.3,715291,1080680,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",20.34
New York,NY,41.5,57.1,3005636,4137641,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",15.85
Pennsylvania,PA,48.8,50.0,3378263,3459923,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",1.19
Virginia,VA,44.2,54.4,1962430,2413568,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",10.31
New Jersey,NJ,41.4,57.3,1883260,2608327,0,1,"1449475.14, 1020280.0, 18586.0, 5963608.0 | 1570924.33, 856034.0, 73491.0, 11008802.0",16.14
