State,Candidate,Party,Votes,Vote share,Electoral votes,Stats,Winning Margin
Alaska,Donald Trump wins,Republican (incumbent),179314,54.90%,3,1280857.24,14.41
Alaska,Kamala Harris,Democrat,134156,41.10%,0,766870.0,
Alabama,Donald Trump wins,Republican (incumbent),1462616,64.60%,9,21076,30.88
Alabama,Kamala Harris,Democrat,772412,34.10%,0,6060621,
Arkansas,Donald Trump wins,Republican (incumbent),759241,64.20%,6,1704843.73,31.34
Arkansas,Kamala Harris,Democrat,396905,33.60%,0,1240600.0,
Arizona,Donald Trump wins,Republican,1770242,52.20%,11,179314,5.59
Arizona,Kamala Harris,Democrat (incumbent),1582860,46.70%,0,9096865,
California,Kamala Harris wins,Democrat (incumbent),9276179,58.50%,54,,20.8
California,Donald Trump,Republican,6081697,38.30%,0,,
Colorado,Kamala Harris wins,Democrat (incumbent),1728159,54.10%,10,,11.29
Colorado,Donald Trump,Republican,1377441,43.10%,0,,
Connecticut,Kamala Harris wins,Democrat (incumbent),992053,56.40%,7,,14.76
Connecticut,Donald Trump,Republican,736918,41.90%,0,,
District of Columbia,Kamala Harris wins,Democrat (incumbent),294185,90.30%,3,,86.63
District of Columbia,Donald Trump,Republican,21076,6.50%,0,,
Delaware,Kamala Harris wins,Democrat (incumbent),289758,56.60%,3,,14.96
Delaware,Donald Trump,Republican,214351,41.90%,0,,
Florida,Donald Trump wins,Republican (incumbent),6110125,56.10%,30,,13.22
Florida,Kamala Harris,Democrat,4683038,43.00%,0,,
Georgia,Donald Trump wins,Republican,2663117,50.70%,16,,2.21
Georgia,Kamala Harris,Democrat (incumbent),2548018,48.50%,0,,
Hawaii,Kamala Harris wins,Democrat (incumbent),313044,60.60%,4,,23.56
Hawaii,Donald Trump,Republican,193661,37.50%,0,,
Iowa,Donald Trump wins,Republican (incumbent),927019,55.70%,6,,13.45
Iowa,Kamala Harris,Democrat,707278,42.50%,0,,
Idaho,Donald Trump wins,Republican (incumbent),605246,66.90%,4,,37.52
Idaho,Kamala Harris,Democrat,274972,30.40%,0,,
Illinois,Kamala Harris wins,Democrat (incumbent),3062863,54.40%,19,,11.14
Illinois,Donald Trump,Republican,2449079,43.50%,0,,
Indiana,Donald Trump wins,Republican (incumbent),1720347,58.60%,11,,19.3
Indiana,Kamala Harris,Democrat,1163603,39.60%,0,,
Kansas,Donald Trump wins,Republican (incumbent),741464,57.20%,6,,16.45
Kansas,Kamala Harris,Democrat,531989,41.00%,0,,
